version;count
5.1.1;7,420,335
5.0.2;5,428,510
4.4.2;4,522,080
5.0;3,183,254
6.0.1;3,175,606
4.4.4;3,023,067
5.0.1;2,591,750
4.2.2;1,955,558
6.0;1,313,697
4.1.2;1,144,575
4.3;527,049
5.1;324,439
4.0.4;136,041
(not set);93,653
4.1.1;48,636
4.2.1;47,041
2.3.6;40,008
4.0.3;27,555
4.4.3;9,002
2.3.5;8,496
4.4;8,314
2.3.3;7,244
3.2;6,229
3.1;5,370
6.0.99;3,376
2.3.4;2,988
2.2.1;2,224
foo;bar,
2.2;2,030
4.3.1;1,719
2.2.2;1,468
2.1-update1;1,421
4.2;1,413
2.3.7;755
5.12;257
1.6;143
3.2.1;133
4.3.2;99
3.2.2;85
6.1;36
N;33
2.1;30
4.0.2;28
4.0.1;27
6.0.2;22
5.2;19
7;abcd
4.2.9;14
2.3.2;12
2.3;10
4.1;9
4.4.99;9
1.5;8
4.3.3;6
9.0;6
Latest;5
2.0;4
2.3.1;4
-4.0.3;3
4.0;3
x86_64;3
1.1;2
4.4.27;2
M;2
2.1-update2;1
2.4;1
3.0;1
4.0.9;1
4.1.5;1
4.2.2-HiSTBAndroidV500R001C00CP0005;1
4.2.3;1
4.2.8;1
4.4.1;1
4.5;1
os;1
